,school,sex,age,mother's_education,father's_education,reason,study_time,family_support,extra_classes,higher,G1,G2,G3,subject,study_x_mother's_education,study_x_father's_education
167,Gabriel Peireira,Female,16,Post-Secondary,Grade 5-9,home,2-5 hr,no,yes,yes,14,15,16,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
168,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,2-5 hr,yes,yes,yes,6,7,0,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
169,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,14,14,14,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
170,Gabriel Peireira,Male,16,Secondary,Post-Secondary,course,<2 hr,yes,no,yes,6,5,0,Math,<2 hr X Secondary,<2 hr X Post-Secondary
171,Gabriel Peireira,Male,16,Primary,None,reputation,2-5 hr,yes,yes,yes,13,15,16,Math,2-5 hr X Primary,2-5 hr X None
172,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,13,11,10,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
173,Gabriel Peireira,Female,16,Primary,Secondary,home,2-5 hr,no,no,yes,8,7,0,Math,2-5 hr X Primary,2-5 hr X Secondary
174,Gabriel Peireira,Female,16,Secondary,Secondary,reputation,2-5 hr,yes,yes,yes,10,11,9,Math,2-5 hr X Secondary,2-5 hr X Secondary
175,Gabriel Peireira,Male,17,Post-Secondary,Secondary,course,2-5 hr,no,yes,yes,10,9,9,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
176,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,no,yes,yes,13,13,11,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
177,Gabriel Peireira,Male,17,Secondary,Secondary,reputation,2-5 hr,no,no,yes,6,5,6,Math,2-5 hr X Secondary,2-5 hr X Secondary
178,Gabriel Peireira,Male,16,Post-Secondary,Grade 5-9,other,<2 hr,yes,no,yes,10,8,9,Math,<2 hr X Post-Secondary,<2 hr X Grade 5-9
179,Gabriel Peireira,Male,17,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,10,10,11,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
180,Gabriel Peireira,Male,16,Post-Secondary,Secondary,home,2-5 hr,yes,yes,yes,9,8,8,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
181,Gabriel Peireira,Male,16,Secondary,Secondary,home,2-5 hr,no,yes,yes,12,13,12,Math,2-5 hr X Secondary,2-5 hr X Secondary
182,Gabriel Peireira,Female,17,Grade 5-9,Post-Secondary,reputation,2-5 hr,yes,no,yes,16,17,17,Math,2-5 hr X Grade 5-9,2-5 hr X Post-Secondary
183,Gabriel Peireira,Female,17,Secondary,Secondary,reputation,2-5 hr,yes,no,yes,9,9,8,Math,2-5 hr X Secondary,2-5 hr X Secondary
184,Gabriel Peireira,Female,16,Secondary,Grade 5-9,reputation,2-5 hr,yes,yes,yes,12,13,12,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
185,Gabriel Peireira,Male,17,Secondary,Secondary,other,2-5 hr,yes,no,yes,12,12,11,Math,2-5 hr X Secondary,2-5 hr X Secondary
186,Gabriel Peireira,Male,16,Primary,Grade 5-9,other,<2 hr,yes,yes,yes,11,12,11,Math,<2 hr X Primary,<2 hr X Grade 5-9
187,Gabriel Peireira,Male,16,Grade 5-9,Primary,course,2-5 hr,no,yes,yes,15,15,15,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
188,Gabriel Peireira,Female,17,Secondary,Secondary,reputation,2-5 hr,yes,no,yes,8,7,9,Math,2-5 hr X Secondary,2-5 hr X Secondary
189,Gabriel Peireira,Male,17,Primary,Grade 5-9,home,2-5 hr,no,no,yes,8,9,10,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
190,Gabriel Peireira,Female,16,Grade 5-9,Secondary,course,2-5 hr,no,no,yes,11,12,13,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
191,Gabriel Peireira,Female,17,Primary,Primary,course,2-5 hr,no,no,yes,8,8,9,Math,2-5 hr X Primary,2-5 hr X Primary
192,Gabriel Peireira,Male,17,Primary,Grade 5-9,other,2-5 hr,no,yes,yes,7,8,8,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
193,Gabriel Peireira,Male,16,Secondary,Secondary,reputation,<2 hr,yes,no,yes,8,9,10,Math,<2 hr X Secondary,<2 hr X Secondary
194,Gabriel Peireira,Male,16,Grade 5-9,Secondary,home,<2 hr,no,no,yes,13,14,14,Math,<2 hr X Grade 5-9,<2 hr X Secondary
195,Gabriel Peireira,Female,17,Grade 5-9,Post-Secondary,course,2-5 hr,no,no,yes,14,15,15,Math,2-5 hr X Grade 5-9,2-5 hr X Post-Secondary
196,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,home,<2 hr,no,no,yes,17,15,16,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
197,Gabriel Peireira,Male,16,Secondary,Secondary,home,<2 hr,yes,yes,yes,9,9,10,Math,<2 hr X Secondary,<2 hr X Secondary
198,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,home,<2 hr,yes,no,yes,18,18,18,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
199,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,9,9,10,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
200,Gabriel Peireira,Female,16,Post-Secondary,Secondary,home,2-5 hr,yes,no,yes,16,16,16,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
201,Gabriel Peireira,Female,16,Grade 5-9,Secondary,reputation,2-5 hr,yes,yes,yes,8,10,10,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
202,Gabriel Peireira,Female,17,Primary,Primary,course,2-5 hr,yes,yes,yes,9,9,10,Math,2-5 hr X Primary,2-5 hr X Primary
203,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,reputation,<2 hr,yes,no,yes,7,6,6,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
204,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,reputation,>10 hr,yes,yes,yes,10,10,11,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
205,Gabriel Peireira,Female,17,Secondary,Post-Secondary,home,5-10 hr,yes,yes,yes,10,9,9,Math,5-10 hr X Secondary,5-10 hr X Post-Secondary
206,Gabriel Peireira,Female,16,Secondary,Primary,course,2-5 hr,yes,yes,yes,7,7,7,Math,2-5 hr X Secondary,2-5 hr X Primary
207,Gabriel Peireira,Female,16,Post-Secondary,Secondary,other,2-5 hr,no,yes,yes,11,12,13,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
208,Gabriel Peireira,Female,16,Primary,Primary,home,<2 hr,yes,yes,yes,9,9,10,Math,<2 hr X Primary,<2 hr X Primary
209,Gabriel Peireira,Female,17,Post-Secondary,Secondary,reputation,5-10 hr,yes,yes,yes,7,7,7,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
210,Gabriel Peireira,Female,19,Secondary,Secondary,reputation,>10 hr,yes,yes,yes,8,8,8,Math,>10 hr X Secondary,>10 hr X Secondary
211,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,12,12,13,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
212,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,yes,yes,yes,12,13,14,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
213,Gabriel Peireira,Male,18,Grade 5-9,Grade 5-9,home,2-5 hr,yes,yes,yes,6,7,8,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
214,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,other,<2 hr,yes,yes,yes,8,10,10,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
215,Gabriel Peireira,Female,17,Secondary,Grade 5-9,reputation,2-5 hr,no,yes,yes,14,15,15,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
216,Gabriel Peireira,Female,17,Post-Secondary,Secondary,reputation,2-5 hr,no,yes,yes,6,6,4,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
217,Gabriel Peireira,Male,18,Secondary,Secondary,home,2-5 hr,yes,yes,yes,6,6,8,Math,2-5 hr X Secondary,2-5 hr X Secondary
218,Gabriel Peireira,Female,17,Grade 5-9,Secondary,home,<2 hr,yes,yes,yes,7,7,8,Math,<2 hr X Grade 5-9,<2 hr X Secondary
219,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,5-10 hr,yes,yes,yes,9,10,10,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
220,Gabriel Peireira,Female,17,Grade 5-9,Primary,reputation,2-5 hr,yes,no,yes,6,6,6,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
221,Gabriel Peireira,Female,17,Primary,Primary,reputation,5-10 hr,yes,no,yes,6,5,0,Math,5-10 hr X Primary,5-10 hr X Primary
222,Gabriel Peireira,Female,16,Grade 5-9,Secondary,other,2-5 hr,no,no,yes,16,16,17,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
223,Gabriel Peireira,Male,18,Grade 5-9,Grade 5-9,home,2-5 hr,yes,yes,yes,12,13,13,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
224,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,home,5-10 hr,yes,no,yes,13,13,14,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
225,Gabriel Peireira,Female,18,Secondary,Primary,reputation,2-5 hr,no,no,yes,9,8,7,Math,2-5 hr X Secondary,2-5 hr X Primary
226,Gabriel Peireira,Female,17,Secondary,Grade 5-9,course,2-5 hr,no,no,yes,16,15,15,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
227,Gabriel Peireira,Male,17,Grade 5-9,Secondary,reputation,2-5 hr,yes,yes,yes,12,11,12,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
228,Gabriel Peireira,Male,18,Grade 5-9,Primary,course,2-5 hr,yes,yes,yes,10,8,9,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
229,Gabriel Peireira,Female,17,Grade 5-9,Primary,course,5-10 hr,no,no,yes,12,10,12,Math,5-10 hr X Grade 5-9,5-10 hr X Primary
230,Gabriel Peireira,Female,17,Post-Secondary,Secondary,reputation,2-5 hr,no,no,yes,13,13,14,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
231,Gabriel Peireira,Male,17,Grade 5-9,Grade 5-9,course,2-5 hr,yes,yes,yes,11,11,11,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
232,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,11,9,9,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
233,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,14,13,13,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
234,Gabriel Peireira,Male,16,Primary,Primary,home,2-5 hr,yes,yes,yes,9,7,6,Math,2-5 hr X Primary,2-5 hr X Primary
235,Gabriel Peireira,Male,16,Secondary,Grade 5-9,reputation,5-10 hr,no,no,yes,11,9,10,Math,5-10 hr X Secondary,5-10 hr X Grade 5-9
236,Gabriel Peireira,Male,17,Grade 5-9,Grade 5-9,home,2-5 hr,no,yes,yes,14,13,13,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
237,Gabriel Peireira,Female,16,Grade 5-9,Primary,home,<2 hr,no,no,yes,13,12,12,Math,<2 hr X Grade 5-9,<2 hr X Primary
238,Gabriel Peireira,Female,17,Grade 5-9,Primary,course,2-5 hr,no,no,yes,13,11,11,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
239,Gabriel Peireira,Male,18,Grade 5-9,Grade 5-9,reputation,2-5 hr,no,no,no,7,7,0,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
240,Gabriel Peireira,Male,17,Post-Secondary,Secondary,course,2-5 hr,no,no,yes,12,12,12,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
241,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,course,2-5 hr,yes,yes,yes,10,11,12,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
242,Gabriel Peireira,Male,16,Post-Secondary,Secondary,course,<2 hr,no,no,yes,6,0,0,Math,<2 hr X Post-Secondary,<2 hr X Secondary
243,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,course,<2 hr,no,no,yes,13,12,12,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
244,Gabriel Peireira,Female,18,Grade 5-9,Primary,course,5-10 hr,yes,yes,yes,7,0,0,Math,5-10 hr X Grade 5-9,5-10 hr X Primary
245,Gabriel Peireira,Male,16,Grade 5-9,Primary,course,<2 hr,no,no,yes,18,18,18,Math,<2 hr X Grade 5-9,<2 hr X Primary
246,Gabriel Peireira,Male,17,Grade 5-9,Secondary,course,<2 hr,no,no,yes,12,12,13,Math,<2 hr X Grade 5-9,<2 hr X Secondary
247,Gabriel Peireira,Male,22,Secondary,Primary,other,<2 hr,no,no,no,6,8,8,Math,<2 hr X Secondary,<2 hr X Primary
248,Gabriel Peireira,Male,18,Secondary,Secondary,course,2-5 hr,yes,no,yes,3,5,5,Math,2-5 hr X Secondary,2-5 hr X Secondary
249,Gabriel Peireira,Male,16,None,Grade 5-9,other,<2 hr,no,yes,yes,13,15,15,Math,<2 hr X None,<2 hr X Grade 5-9
250,Gabriel Peireira,Male,18,Secondary,Grade 5-9,course,<2 hr,no,no,no,6,8,8,Math,<2 hr X Secondary,<2 hr X Grade 5-9
251,Gabriel Peireira,Male,16,Secondary,Secondary,reputation,2-5 hr,yes,no,yes,7,10,10,Math,2-5 hr X Secondary,2-5 hr X Secondary
252,Gabriel Peireira,Male,18,Grade 5-9,Primary,other,<2 hr,no,no,no,6,9,8,Math,<2 hr X Grade 5-9,<2 hr X Primary
253,Gabriel Peireira,Male,16,Grade 5-9,Primary,course,<2 hr,no,no,yes,8,9,8,Math,<2 hr X Grade 5-9,<2 hr X Primary
254,Gabriel Peireira,Male,17,Grade 5-9,Primary,course,<2 hr,no,no,yes,8,12,12,Math,<2 hr X Grade 5-9,<2 hr X Primary
255,Gabriel Peireira,Male,17,Primary,Primary,course,<2 hr,yes,no,yes,7,9,8,Math,<2 hr X Primary,<2 hr X Primary
256,Gabriel Peireira,Female,17,Post-Secondary,Grade 5-9,reputation,>10 hr,yes,yes,yes,14,12,13,Math,>10 hr X Post-Secondary,>10 hr X Grade 5-9
257,Gabriel Peireira,Male,19,Post-Secondary,Secondary,reputation,2-5 hr,yes,no,yes,11,11,11,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
258,Gabriel Peireira,Male,18,Grade 5-9,Primary,home,2-5 hr,no,no,yes,15,14,14,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
259,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,>10 hr,no,yes,yes,10,9,0,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
260,Gabriel Peireira,Female,18,Post-Secondary,Secondary,home,2-5 hr,yes,yes,yes,17,18,18,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
261,Gabriel Peireira,Male,18,Post-Secondary,Secondary,course,2-5 hr,yes,yes,yes,8,8,8,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
262,Gabriel Peireira,Male,18,Secondary,Grade 5-9,course,5-10 hr,no,no,yes,13,12,12,Math,5-10 hr X Secondary,5-10 hr X Grade 5-9
263,Gabriel Peireira,Female,17,Secondary,Secondary,home,5-10 hr,no,no,yes,10,9,9,Math,5-10 hr X Secondary,5-10 hr X Secondary
264,Gabriel Peireira,Female,18,Grade 5-9,Grade 5-9,home,5-10 hr,yes,yes,yes,9,10,0,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
265,Gabriel Peireira,Male,18,Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,17,17,17,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
266,Gabriel Peireira,Male,17,Secondary,Primary,other,2-5 hr,no,yes,yes,9,9,10,Math,2-5 hr X Secondary,2-5 hr X Primary
267,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,reputation,2-5 hr,no,yes,yes,12,10,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
268,Gabriel Peireira,Male,18,Post-Secondary,Grade 5-9,reputation,2-5 hr,yes,yes,yes,10,9,10,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
269,Gabriel Peireira,Female,18,Grade 5-9,Primary,reputation,2-5 hr,yes,no,no,6,0,0,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
270,Gabriel Peireira,Female,19,Secondary,Secondary,home,2-5 hr,yes,yes,yes,9,9,9,Math,2-5 hr X Secondary,2-5 hr X Secondary
271,Gabriel Peireira,Female,18,Grade 5-9,Secondary,reputation,>10 hr,yes,yes,yes,15,14,14,Math,>10 hr X Grade 5-9,>10 hr X Secondary
272,Gabriel Peireira,Female,18,Primary,Primary,home,2-5 hr,yes,yes,yes,11,11,11,Math,2-5 hr X Primary,2-5 hr X Primary
273,Gabriel Peireira,Male,17,Primary,Grade 5-9,home,2-5 hr,yes,yes,yes,15,14,14,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
274,Gabriel Peireira,Female,17,Grade 5-9,Post-Secondary,reputation,2-5 hr,yes,yes,yes,10,10,10,Math,2-5 hr X Grade 5-9,2-5 hr X Post-Secondary
275,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,2-5 hr,yes,yes,yes,12,12,12,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
276,Gabriel Peireira,Female,18,Secondary,Grade 5-9,home,2-5 hr,no,no,no,10,9,9,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
277,Gabriel Peireira,Male,18,Post-Secondary,Post-Secondary,home,<2 hr,no,yes,yes,9,9,9,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
278,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,9,8,8,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
279,Gabriel Peireira,Male,18,Post-Secondary,Secondary,course,<2 hr,no,yes,yes,10,11,10,Math,<2 hr X Post-Secondary,<2 hr X Secondary
280,Gabriel Peireira,Male,17,Post-Secondary,Primary,home,<2 hr,no,yes,yes,8,8,8,Math,<2 hr X Post-Secondary,<2 hr X Primary
281,Gabriel Peireira,Male,17,Secondary,Grade 5-9,home,<2 hr,no,no,yes,11,9,10,Math,<2 hr X Secondary,<2 hr X Grade 5-9
282,Gabriel Peireira,Female,18,Primary,Primary,reputation,>10 hr,yes,yes,yes,12,12,12,Math,>10 hr X Primary,>10 hr X Primary
283,Gabriel Peireira,Female,18,Primary,Primary,home,2-5 hr,no,no,yes,8,9,10,Math,2-5 hr X Primary,2-5 hr X Primary
284,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,2-5 hr,yes,no,yes,10,9,11,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
285,Gabriel Peireira,Male,17,Primary,Primary,reputation,2-5 hr,no,yes,yes,12,10,11,Math,2-5 hr X Primary,2-5 hr X Primary
286,Gabriel Peireira,Female,18,Grade 5-9,Grade 5-9,other,5-10 hr,yes,yes,yes,18,18,19,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
287,Gabriel Peireira,Female,17,Primary,Primary,reputation,5-10 hr,yes,yes,yes,13,12,12,Math,5-10 hr X Primary,5-10 hr X Primary
288,Gabriel Peireira,Male,18,Grade 5-9,Primary,reputation,5-10 hr,no,yes,yes,15,14,14,Math,5-10 hr X Grade 5-9,5-10 hr X Primary
289,Gabriel Peireira,Male,18,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,15,13,15,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
290,Gabriel Peireira,Male,18,Post-Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,12,11,11,Math,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
291,Gabriel Peireira,Female,17,Post-Secondary,Secondary,reputation,5-10 hr,yes,yes,yes,15,15,15,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
292,Gabriel Peireira,Female,18,Grade 5-9,Primary,reputation,2-5 hr,no,no,yes,12,12,13,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
293,Gabriel Peireira,Female,17,Secondary,Primary,reputation,>10 hr,yes,yes,yes,18,18,18,Math,>10 hr X Secondary,>10 hr X Primary
294,Gabriel Peireira,Male,18,Secondary,Grade 5-9,reputation,5-10 hr,yes,yes,yes,14,13,14,Math,5-10 hr X Secondary,5-10 hr X Grade 5-9
295,Gabriel Peireira,Male,17,Secondary,Secondary,home,<2 hr,yes,yes,yes,14,12,11,Math,<2 hr X Secondary,<2 hr X Secondary
296,Gabriel Peireira,Female,19,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,yes,yes,10,9,0,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
297,Gabriel Peireira,Female,18,Post-Secondary,Secondary,home,2-5 hr,yes,yes,yes,10,8,8,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
298,Gabriel Peireira,Female,18,Post-Secondary,Secondary,reputation,>10 hr,yes,yes,yes,14,13,14,Math,>10 hr X Post-Secondary,>10 hr X Secondary
299,Gabriel Peireira,Male,18,Post-Secondary,Post-Secondary,home,<2 hr,yes,yes,yes,16,15,16,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
300,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,12,10,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
301,Gabriel Peireira,Male,17,Post-Secondary,Post-Secondary,home,<2 hr,no,yes,yes,11,11,10,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
302,Gabriel Peireira,Female,17,Post-Secondary,Grade 5-9,reputation,5-10 hr,yes,yes,yes,15,12,14,Math,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
303,Gabriel Peireira,Female,17,Secondary,Grade 5-9,reputation,>10 hr,yes,yes,yes,17,17,18,Math,>10 hr X Secondary,>10 hr X Grade 5-9
304,Gabriel Peireira,Male,19,Secondary,Secondary,home,2-5 hr,yes,no,yes,15,14,13,Math,2-5 hr X Secondary,2-5 hr X Secondary
305,Gabriel Peireira,Female,18,Grade 5-9,Post-Secondary,reputation,2-5 hr,yes,yes,yes,14,12,12,Math,2-5 hr X Grade 5-9,2-5 hr X Post-Secondary
306,Gabriel Peireira,Male,20,Secondary,Grade 5-9,course,<2 hr,no,no,yes,17,18,18,Math,<2 hr X Secondary,<2 hr X Grade 5-9
307,Gabriel Peireira,Male,19,Post-Secondary,Post-Secondary,reputation,<2 hr,yes,yes,yes,8,9,8,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
308,Gabriel Peireira,Male,19,Secondary,Secondary,reputation,2-5 hr,no,no,yes,15,12,12,Math,2-5 hr X Secondary,2-5 hr X Secondary
309,Gabriel Peireira,Female,19,Primary,Primary,reputation,2-5 hr,yes,no,yes,12,10,10,Math,2-5 hr X Primary,2-5 hr X Primary
310,Gabriel Peireira,Female,19,Primary,Grade 5-9,home,2-5 hr,no,no,yes,9,9,0,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
311,Gabriel Peireira,Female,19,Grade 5-9,Primary,other,2-5 hr,yes,no,no,14,12,13,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
312,Gabriel Peireira,Male,19,Primary,Grade 5-9,course,2-5 hr,no,no,yes,13,11,11,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
313,Gabriel Peireira,Female,19,Secondary,Grade 5-9,reputation,2-5 hr,yes,yes,yes,13,10,11,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
314,Gabriel Peireira,Female,19,Primary,Primary,home,5-10 hr,no,no,yes,15,13,13,Math,5-10 hr X Primary,5-10 hr X Primary
315,Gabriel Peireira,Female,19,Grade 5-9,Secondary,reputation,5-10 hr,no,no,yes,13,11,11,Math,5-10 hr X Grade 5-9,5-10 hr X Secondary
316,Gabriel Peireira,Female,18,Grade 5-9,Primary,course,2-5 hr,yes,yes,yes,8,8,0,Math,2-5 hr X Grade 5-9,2-5 hr X Primary
317,Gabriel Peireira,Female,18,Post-Secondary,Secondary,course,5-10 hr,yes,yes,yes,9,10,9,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
318,Gabriel Peireira,Female,17,Secondary,Post-Secondary,course,5-10 hr,yes,yes,yes,11,11,10,Math,5-10 hr X Secondary,5-10 hr X Post-Secondary
319,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,course,2-5 hr,yes,yes,yes,11,11,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
320,Gabriel Peireira,Female,17,Post-Secondary,Secondary,course,2-5 hr,yes,yes,yes,13,13,13,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
321,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,2-5 hr,yes,no,yes,11,9,9,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
322,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,course,5-10 hr,yes,yes,yes,11,11,11,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
323,Gabriel Peireira,Female,17,Secondary,Primary,course,5-10 hr,yes,no,yes,12,14,15,Math,5-10 hr X Secondary,5-10 hr X Primary
324,Gabriel Peireira,Female,17,None,Grade 5-9,home,5-10 hr,no,no,yes,16,15,15,Math,5-10 hr X None,5-10 hr X Grade 5-9
325,Gabriel Peireira,Male,18,Post-Secondary,Post-Secondary,course,5-10 hr,no,no,yes,9,12,11,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
326,Gabriel Peireira,Male,17,Secondary,Secondary,reputation,<2 hr,no,no,yes,14,15,16,Math,<2 hr X Secondary,<2 hr X Secondary
327,Gabriel Peireira,Male,17,Grade 5-9,Grade 5-9,course,<2 hr,yes,no,yes,11,10,10,Math,<2 hr X Grade 5-9,<2 hr X Grade 5-9
328,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,course,5-10 hr,yes,yes,yes,10,9,9,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
329,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,course,5-10 hr,yes,yes,yes,14,14,14,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
330,Gabriel Peireira,Male,18,Grade 5-9,Grade 5-9,course,>10 hr,yes,no,yes,9,8,8,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
331,Gabriel Peireira,Female,17,Grade 5-9,Post-Secondary,course,5-10 hr,yes,no,yes,12,14,14,Math,5-10 hr X Grade 5-9,5-10 hr X Post-Secondary
332,Gabriel Peireira,Female,18,Secondary,Secondary,home,2-5 hr,no,no,yes,7,0,0,Math,2-5 hr X Secondary,2-5 hr X Secondary
333,Gabriel Peireira,Female,18,Grade 5-9,Grade 5-9,home,2-5 hr,no,no,yes,8,8,0,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
334,Gabriel Peireira,Female,18,Grade 5-9,Grade 5-9,course,>10 hr,no,no,yes,10,9,0,Math,>10 hr X Grade 5-9,>10 hr X Grade 5-9
